"term","estimate"
"(Intercept)",-446.399842987439
"PM25_lag1",0.436262296043555
"Avg_Temp_c",2.34261658099222
"Rain_c",-1.25636030680028
"Re_Humid",2.01192612586518
"Wind",-1.51605524035143
"Sun",58.9709237800136
"Avg_Temp_c:Rain_c",-0.356953561175311
